City code;City name;Eligible voters;Issued envelopes;Valid votes;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;»esk· n·rodnÌ fronta;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
568406;Slatina;599;390;387;31;0;0;37;0;12;34;2;1;3;1;0;36;0;0;14;140;0;0;22;1;6;0;1;45;1
599867;Sp·lov;697;409;402;16;0;0;24;1;14;18;4;5;1;0;0;33;0;2;6;125;1;0;83;0;1;1;2;65;0
599905;Star˝ JiËÌn;2223;1562;1551;126;5;1;156;0;40;111;27;3;29;0;4;121;0;1;38;462;1;7;242;0;4;2;1;168;2
599921;StudÈnka;7921;4422;4390;316;2;4;333;6;101;402;75;42;38;5;9;372;2;9;109;1†566;1;10;251;2;29;8;6;682;10
599930;Suchdol nad Odrou;2099;1182;1177;64;0;0;94;1;29;109;19;3;37;0;2;104;0;1;20;432;0;1;101;0;2;1;1;151;5
554171;äenov u NovÈho JiËÌna;1669;1037;1033;99;0;1;105;1;18;59;27;7;30;1;4;100;2;0;32;325;0;0;67;0;5;2;0;146;2
599948;ätramberk;2799;1722;1718;180;2;7;122;2;54;133;27;12;9;1;2;185;0;3;29;536;4;1;139;0;23;3;2;232;10
599956;Tich·;1385;915;908;83;3;1;71;1;27;72;16;9;3;4;3;66;0;0;24;289;2;9;89;1;4;1;3;126;1
599964;TÌsek;764;495;490;33;0;0;30;0;17;75;2;3;5;0;0;23;0;2;7;165;0;1;67;0;2;2;1;55;0
569755;Trn·vka;594;371;370;21;0;0;42;0;14;37;4;1;2;1;1;20;0;0;14;148;0;0;8;0;5;4;3;45;0
599999;Trojanovice;2046;1340;1335;138;1;0;79;2;40;73;28;8;16;1;4;135;0;3;49;464;5;2;118;0;11;1;4;150;3
568422;VelkÈ Albrechtice;895;540;532;31;0;1;42;0;21;47;7;5;2;0;1;53;1;0;4;236;1;2;17;0;2;0;1;54;4
500259;Ve¯ovice;1629;952;948;49;0;1;103;1;25;63;21;13;8;1;1;97;0;2;10;283;1;0;126;0;8;7;1;127;0
554910;VraûnÈ;688;410;406;16;0;1;24;2;0;34;11;4;4;0;0;30;0;0;3;162;0;1;37;0;1;0;5;70;1
569747;Vrchy;179;118;118;0;0;0;8;0;0;13;0;2;1;0;0;9;0;0;1;47;0;0;10;0;0;0;1;26;0
568473;Z·viöice;792;572;568;57;0;0;49;2;17;20;12;2;14;0;3;36;0;0;20;177;2;1;89;0;1;0;1;61;4
568732;éenklava;867;487;486;29;0;0;37;0;14;39;7;3;2;1;1;61;0;1;10;157;4;1;30;0;5;1;2;77;4
547000;éivotice u NovÈho JiËÌna;526;343;340;22;0;0;24;0;0;32;6;2;4;1;0;35;0;0;3;101;1;1;42;1;2;2;0;61;0
